Tanggal,Rainfall,Water Level,Water Discharge,Tides,Temperature,Humidity
12/5/2022,0,1.37,4.08,1.1,29,80
13-05-2022,8,1.63,13.3,1.1,29,81
14-05-2022,49,2.77,42.5,1.2,,
15-05-2022,0,2.11,23.7,1.3,,
16-05-2022,51,2.09,23.2,1.4,27.9,83
17-05-2022,27,1.8,16.6,1.5,27.5,81
18-05-2022,27,1.78,16.2,1.6,28.4,81
19-05-2022,24.5,1.78,16.2,1.6,28.1,82
20-05-2022,0,1.51,11.1,1.6,28.6,78
21-05-2022,20,1.28,3.5,1.5,28.9,76
22-05-2022,0,1.18,2.92,1.5,28.7,76
23-05-2022,0,1.19,2.98,1.4,29.3,75
24-05-2022,0,1.07,2.35,1.3,28.8,79
25-05-2022,30,1.3,3.63,1.2,28.5,82
26-05-2022,65,2.33,29.4,1.1,,
27-05-2022,3,2.76,42.1,1.1,24.5,91
28-05-2022,0,1.73,15.2,1.2,26.8,84
29-05-2022,0,1.37,4.08,1.3,28,79
30-05-2022,0,1.23,3.21,1.4,28.5,78
31-05-2022,0,1.08,2.4,1.5,29.2,77
1/6/2022,0,1.17,2.87,1.6,29,74
2/6/2022,0,1.07,2.35,1.6,28.8,74
3/6/2022,18,0.86,1.44,1.6,28.1,79
4/6/2022,60,0.81,1.26,1.5,27,87
5/6/2022,0,0.97,1.89,1.5,27,82
6/6/2022,7,0.8,1.22,1.4,27.9,85
7/6/2022,0,0.79,1.19,1.3,28.3,81
8/6/2022,0,0.74,1.03,1.2,28.9,76
9/6/2022,5,0.75,1.06,1.2,27.7,85
10/6/2022,0,0.95,1.8,1.2,,
11/6/2022,4,0.77,1.12,1.2,28.1,79
12/6/2022,5,0.74,1.03,1.3,26.8,88
13-06-2022,0,0.95,1.8,1.4,27.1,82
14-06-2022,0,0.86,1.44,1.5,,
15-06-2022,4,0.91,1.64,1.5,27.1,87
16-06-2022,3,0.79,1.19,1.6,28.4,82
17-06-2022,0,1.16,2.81,1.6,28.3,79
18-06-2022,12,0.87,1.48,1.6,27.1,85
19-06-2022,10,0.79,1.19,1.5,27.1,85
20-06-2022,0,0.75,1.06,1.4,28.3,76
21-06-2022,1,0.74,1.03,1.4,28.2,75
22-06-2022,0,0.97,1.89,1.3,28.2,78
23-06-2022,6,0.89,1.56,1.2,28.2,79
24-06-2022,5,0.81,1.26,1.2,27.2,83
25-06-2022,16,0.74,1.03,1.2,26.6,86
26-06-2022,0,0.69,0.88,1.3,27.7,80
27-06-2022,5,0.67,0.82,1.4,28.2,80
28-06-2022,0,0.66,0.79,1.5,27.5,80
29-06-2022,1,0.65,0.77,1.6,27.5,83
30-06-2022,0,0.62,0.69,1.6,28.3,78
1/7/2022,0,0.69,0.88,1.6,28.7,79
2/7/2022,0,0.66,0.79,1.6,28.9,78
3/7/2022,0,0.7,0.91,1.5,28.5,79
4/7/2022,0,0.63,0.71,1.4,28,82
5/7/2022,0,0.59,0.62,1.3,28.2,77
6/7/2022,0,0.6,0.64,1.3,29.6,70
7/7/2022,0,0.57,0.57,1.2,28.2,76
8/7/2022,0,0.58,0.59,1.2,27.2,78
9/7/2022,9,0.71,0.94,1.3,,
10/7/2022,0,0.6,0.64,1.3,27.8,79
11/7/2022,0,0.83,1.33,1.4,28.4,80
12/7/2022,0,0.67,0.82,1.4,28.8,78
13-07-2022,0,0.6,0.64,1.5,28.3,77
14-07-2022,11,0.7,0.91,1.5,27.9,84
15-07-2022,0,1.04,2.2,1.5,27.6,81
16-07-2022,12,0.74,1.03,1.5,28.2,79
17-07-2022,0,0.66,0.79,1.5,28,77
18-07-2022,0,0.63,0.71,1.4,28,78
19-07-2022,0,0.62,0.69,1.4,28,74
20-07-2022,0,0.62,0.69,1.3,28.4,75
21-07-2022,0,0.58,0.59,1.3,27.7,82
22-07-2022,24,0.55,0.53,1.2,27.6,81
23-07-2022,0,0.54,0.5,1.2,28.7,78
24-07-2022,0,0.54,0.5,1.3,27.6,70
25-07-2022,0,0.56,0.55,1.3,27.4,69
26-07-2022,0,0.56,0.55,1.4,28,80
27-07-2022,0,0.51,0.44,1.5,28.4,75
28-07-2022,0,0.54,0.5,0.4,28.7,72
29-07-2022,0,0.53,0.48,1.5,28.2,72
30-07-2022,0,0.56,0.55,1.5,28.4,76
31-07-2022,18,0.64,0.74,1.4,28.3,77
1/8/2022,3,0.62,0.69,1.4,27.8,84
2/8/2022,3,0.58,0.59,1.3,28.3,81
3/8/2022,0,0.55,0.53,1.2,28.2,75
4/8/2022,0,0.57,0.57,1.2,28.3,73
5/8/2022,0,0.6,0.64,1.2,27.9,71
6/8/2022,0,0.7,0.91,1.2,27.6,74
7/8/2022,0,0.58,0.59,1.3,27.7,77
8/8/2022,10,0.55,0.53,1.4,27.3,80
9/8/2022,0,0.83,1.33,1.4,28,80
10/8/2022,4,0.64,0.74,1.4,27.8,78
11/8/2022,0,0.59,0.62,1.5,,
12/8/2022,0,0.55,0.53,1.5,,
13-08-2022,5,0.52,0.46,1.4,28,80
14-08-2022,14,0.49,0.4,1.4,28,78
15-08-2022,0,0.48,0.38,1.3,27.4,71
16-08-2022,0,0.49,0.4,1.3,27.7,74
17-08-2022,0,0.48,0.38,1.2,28.5,68
18-08-2022,0,0.49,0.4,1.2,28.4,73
19-08-2022,0,0.5,0.42,1.2,,
20-08-2022,0,0.58,0.59,1.2,,
21-08-2022,0,0.56,0.55,1.2,28.8,67
22-08-2022,0,0.67,0.82,1.3,28.7,70
23-08-2022,0,0.63,0.71,1.4,28.1,74
24-08-2022,0,0.57,0.57,1.4,27.5,72
25-08-2022,0,0.54,0.5,1.4,27.7,75
26-08-2022,0,0.52,0.46,1.4,28.3,75
27-08-2022,0,0.51,0.44,1.4,27.5,77
28-08-2022,0,0.49,0.4,1.3,28.4,74
29-08-2022,2,0.54,0.5,1.3,28.3,76
30-08-2022,53,0.58,0.59,1.2,27.3,83
31-08-2022,24,0.62,0.69,1.2,27.9,79
1/9/2022,0,0.62,0.69,1.2,28,76
2/9/2022,0,0.58,0.59,1.3,28.3,77
3/9/2022,8,0.55,0.53,1.3,28.7,78
4/9/2022,0,0.57,0.57,1.2,28.3,79
5/9/2022,4,0.58,0.59,1.3,28.6,76
6/9/2022,1,0.69,0.88,1.3,,
7/9/2022,0,0.6,0.64,1.4,27.9,74
8/9/2022,13,0.57,0.57,1.4,28.2,78
9/9/2022,2,0.7,0.91,1.3,,
10/9/2022,0,0.74,1.03,1.3,28.2,75
11/9/2022,0,0.61,0.66,1.3,28.1,69
12/9/2022,0,0.57,0.57,1.2,28.2,72
13-09-2022,0,0.52,0.46,1.2,28.9,74
14-09-2022,0,0.51,0.44,1.3,28.6,74
15-09-2022,0,0.48,0.38,1.3,28.5,72
16-09-2022,0,0.49,0.4,1.4,29.7,67
17-09-2022,0,0.48,0.38,1.4,28.5,74
18-09-2022,0,0.49,0.4,1.3,29.2,72
19-09-2022,0,0.5,0.42,1.2,28.1,72
20-09-2022,0,0.58,0.59,1.3,27.7,82
21-09-2022,75,0.56,0.55,1.3,27.9,84
22-09-2022,5,0.67,0.82,1.3,27.4,83
23-09-2022,0,0.63,0.71,1.3,28.8,78
24-09-2022,0,0.57,0.57,1.3,28.7,78
25-09-2022,0,0.54,0.5,1.2,29.2,71
26-09-2022,5,0.52,0.46,1.1,28.4,77
27-09-2022,0,0.51,0.44,1.2,29.1,69
28-09-2022,0,0.49,0.4,1.3,28.6,70
29-09-2022,4,0.58,0.59,1.4,28.4,77
30-09-2022,20,0.62,0.69,1.4,28.1,80
1/10/2022,6,0.86,1.44,1.4,28.7,77
2/10/2022,16,0.75,1.06,1.4,28.6,75
3/10/2022,7,1.05,2.25,1.3,27.6,80
4/10/2022,0,1.24,3.26,1.2,28.2,76
5/10/2022,45,1.03,2.16,1.3,28.2,79
6/10/2022,24,1.68,14.2,1.2,26.4,90
7/10/2022,0,1.59,12.5,1.2,27.9,82
8/10/2022,28,1.13,2.65,1.2,29.1,81
9/10/2022,0,0.99,1.97,1.1,28.1,82
10/10/2022,80,0.95,1.8,1.1,27.8,85
11/10/2022,27,1.61,12.9,1.3,26.9,87
12/10/2022,11,1.3,3.63,1.4,27.2,86
13-10-2022,25,1.28,3.5,1.5,27,82
14-10-2022,41,1.81,16.8,1.5,27.2,83
15-10-2022,28,2.47,33.3,1.5,28.2,77
16-10-2022,11,2.23,26.7,1.5,27.5,85
17-10-2022,0,1.52,11.3,1.4,27.9,80
18-10-2022,59,1.57,12.2,1.3,27.6,87
19-10-2022,15,2.59,36.8,1.2,27.6,84
20-10-2022,20,2.84,44.8,1.2,29.1,78
21-10-2022,0,1.93,19.4,1.2,29.2,78
22-10-2022,66,1.82,17,1.1,27.9,84
23-10-2022,44,1.73,15.2,1,28.2,81
24-10-2022,8,2.08,22.9,1.1,28.8,81
25-10-2022,0,2.62,37.7,1.3,29.1,79
26-10-2022,10,1.94,19.7,1.4,28.8,80
27-10-2022,0,2.2,25.9,1.5,,
28-10-2022,4,1.45,4.62,1.5,,
29-10-2022,7,1.32,3.75,1.5,28,75
30-10-2022,0,1.43,4.48,1.5,29.3,72
31-10-2022,5,1.19,2.98,1.5,29.8,70
1/11/2022,2,1.05,2.25,1.4,29,76
2/11/2022,15,1.06,2.3,1.3,,
3/11/2022,0,1.19,2.98,1.2,,
4/11/2022,37,1.06,2.3,1.1,28.2,80
5/11/2022,33,1.1,2.5,1,27.3,86
6/11/2022,13,1.08,2.4,1,27.8,84
7/11/2022,43,1.32,3.75,1.2,26.6,85
8/11/2022,55,1.63,13.3,1.3,26.8,84
9/11/2022,28,2.16,24.9,1.4,27.7,82
10/11/2022,45,1.96,20.1,1.5,27.4,83
11/11/2022,0,1.74,15.4,1.6,27.8,80
12/11/2022,76,1.94,19.7,1.6,27.9,81
13-11-2022,0,2.97,49.2,1.6,27.9,79
14-11-2022,10,1.85,17.7,1.5,27.7,84
15-11-2022,78,3.3,61.2,1.4,27.4,86
16-11-2022,94,4.72,127,1.3,27.8,84
17-11-2022,0,5.37,164,1.2,28,78
18-11-2022,178,3.59,72.8,1.1,26,91
19-11-2022,0,5.46,170,1.1,26.6,88
20-11-2022,0,2.83,44.4,1.1,,
21-11-2022,0,1.99,20.8,1.2,28.3,76
22-11-2022,0,1.57,12.2,1.3,28.9,76
23-11-2022,15,1.51,11.1,1.4,27.8,80
24-11-2022,0,1.29,3.56,1.5,27.2,83
25-11-2022,0,1.24,3.26,1.6,27.5,80
26-11-2022,3,1.23,3.21,1.6,28.3,81
27-11-2022,4,1.24,3.26,1.6,26.9,84
28-11-2022,0,1.04,2.2,1.5,28.4,77
29-11-2022,20.5,0.97,1.89,1.5,27.2,84
30-11-2022,24,1.17,2.87,1.4,27.5,85
1/12/2022,16,1.71,14.8,1.3,26.5,88
2/12/2022,0,1.45,4.62,1.2,26.8,87
3/12/2022,0,1.18,2.92,1.2,28.1,77
4/12/2022,0,1.5,10.9,1.1,27.8,78
5/12/2022,0,1.2,3.03,1.2,27.8,78
6/12/2022,19,1.65,13.6,1.3,28,73
7/12/2022,8,1.44,4.55,1.4,29.1,72
8/12/2022,4,1.17,2.87,1.5,28.5,72
9/12/2022,0,1.09,2.45,1.6,28.6,73
10/12/2022,0,1.02,2.11,1.6,28.8,74
11/12/2022,0,0.94,1.76,1.6,29,78
12/12/2022,17,0.88,1.52,1.6,28.2,80
13-12-2022,18,1.31,3.69,1.5,27.3,84
14-12-2022,41,2.03,21.7,1.4,28,82
15-12-2022,2.5,1.65,13.6,1.3,26.2,87
16-12-2022,18,1.5,10.9,1.2,26.1,87
17-12-2022,32,1.87,18.1,1.2,25.2,93
18-12-2022,12.5,2.53,35,1.2,25.8,90
19-12-2022,32,2.02,21.5,1.2,27.2,80
20-12-2022,18,1.78,16.2,1.3,27.5,81
21-12-2022,0,1.51,11.1,1.4,27.7,78
22-12-2022,99,1.28,3.5,1.5,27.3,82
23-12-2022,122,4.9,137,1.5,27.1,88
24-12-2022,92,5.65,182,1.6,26.5,85
25-12-2022,52,5.27,158,1.6,25.7,90
26-12-2022,21,4.52,116,1.5,27,83
27-12-2022,120,3.9,86.2,1.5,25.2,86
28-12-2022,65,5.09,147,1.4,24.6,95
29-12-2022,45,4.98,141,1.4,24.7,93
30-12-2022,47,4.53,117,1.3,25.3,92
31-12-2022,12,4.09,95,1.2,27.3,84
